ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
560;Daniel Theis;FALSE;Bos;F;27.02;66;13.8;76;0.737;199;60.30%;67;38.80%;59.80%;62.40%;80;203.2
561;Isaiah Thomas;FALSE;Den;G;30.17;12;15.1;27;0.63;56;39.30%;43;27.90%;40.40%;43.70%;69;175.26
562;Khyri Thomas;FALSE;Det;G;22.92;26;7.5;11;0.636;34;35.30%;35;28.60%;39.10%;41.30%;75;190.5
563;Lance Thomas;FALSE;Nyk;F;30.96;46;17;36;0.75;118;47.50%;79;27.80%;45.20%;48.20%;80;203.2
564;Klay Thompson;FALSE;Gol;G;29.17;78;34;158;0.816;802;51.60%;599;40.20%;55.40%;57.10%;79;200.66
565;Tristan Thompson;FALSE;Cle;F-C;28.08;43;27.9;106;0.642;380;52.90%;0;0.00%;52.90%;55.10%;82;208.28
566;Sindarius Thornwell;FALSE;Lac;G;24.4;64;4.9;34;0.735;34;41.20%;15;20.00%;37.80%;48.50%;77;195.58
567;Anthony Tolliver;FALSE;Min;F;33.86;65;16.6;60;0.783;44;40.90%;215;37.70%;53.90%;57.10%;80;203.2
568;Karl-Anthony Towns;FALSE;Min;F-C;23.4;77;33;450;0.836;960;56.10%;355;40.00%;57.20%;62.10%;84;213.36
569;Gary Trent Jr.;FALSE;Por;G;20.23;15;7.4;7;0.429;29;37.90%;21;23.80%;37.00%;37.70%;78;198.12
570;Allonzo Trier;FALSE;Nyk;G;23.23;64;22.8;223;0.803;386;46.60%;132;39.40%;49.80%;56.40%;77;195.58
571;PJ Tucker;FALSE;Hou;F;33.93;82;34.2;59;0.695;137;44.50%;387;37.70%;53.40%;54.60%;78;198.12
572;Evan Turner;FALSE;Por;G-F;30.45;73;22;106;0.708;391;49.40%;53;20.80%;47.20%;50.30%;79;200.66
573;Myles Turner;FALSE;Ind;F-C;23.05;74;28.6;201;0.736;585;52.00%;196;38.80%;53.50%;56.60%;83;210.82
574;Ekpe Udoh;FALSE;Uta;C-F;31.89;51;6.3;30;0.633;72;69.40%;0;0.00%;69.40%;69.80%;82;208.28
575;Tyler Ulis;FALSE;Chi;G;23.26;1;0.8;0;0;0;0.00%;0;0.00%;0.00%;0.00%;70;177.8
576;Jonas Valanciunas;TRUE;Tor;C;26.93;30;18.8;94;0.819;228;61.40%;30;30.00%;59.50%;64.10%;84;213.36
577;Jonas Valanciunas;TRUE;Mem;C;26.93;19;27.7;91;0.769;261;56.30%;18;27.80%;55.40%;59.40%;84;213.36
578;Jarred Vanderbilt;FALSE;Den;F;20.02;16;4.3;10;0.6;18;50.00%;1;0.00%;47.40%;51.30%;81;205.74
579;Fred VanVleet;FALSE;Tor;G;25.12;64;27.5;115;0.843;304;44.10%;296;37.80%;50.30%;53.90%;72;182.88
580;Noah Vonleh;FALSE;Nyk;F;23.63;68;25.3;156;0.712;303;53.10%;137;33.60%;52.30%;56.10%;72;182.88
581;Nikola Vucevic;FALSE;Orl;C;28.46;80;31.4;227;0.789;1123;54.90%;231;36.40%;54.90%;57.30%;84;213.36
582;Dwyane Wade;FALSE;Mia;G;37.23;72;26.2;233;0.708;698;47.30%;261;33.00%;47.90%;51.00%;76;193.04
583;Moritz Wagner;FALSE;Lal;C;21.96;43;10.4;53;0.811;94;52.10%;77;28.60%;48.00%;53.30%;83;210.82
584;Dion Waiters;FALSE;Mia;G;27.34;44;25.9;44;0.5;190;46.80%;289;37.70%;52.70%;52.90%;76;193.04
585;Lonnie Walker IV;FALSE;San;G;20.32;17;6.9;10;0.8;33;33.30%;13;38.50%;40.20%;44.60%;77;195.58
586;Kemba Walker;FALSE;Cha;G;28.93;82;34.9;450;0.844;954;49.40%;730;35.60%;51.10%;55.80%;73;185.42
587;Tyrone Wallace;FALSE;Lac;G;24.84;62;10.1;57;0.526;198;44.40%;19;21.10%;43.30%;45.00%;77;195.58
588;John Wall;FALSE;Was;G;28.6;32;34.5;175;0.697;382;50.80%;169;30.20%;49.10%;52.80%;76;193.04
589;Brad Wanamaker;FALSE;Bos;G;29.71;36;9.5;28;0.857;66;51.50%;39;41.00%;55.20%;59.70%;76;193.04
590;T.J. Warren;FALSE;Pho;F;25.6;43;31.6;124;0.815;431;51.00%;180;42.80%;54.90%;58.00%;80;203.2
591;Julian Washburn;FALSE;Mem;F-G;27.31;18;14.1;4;0.75;24;45.80%;24;20.80%;38.50%;40.20%;80;203.2
592;Yuta Watanabe;FALSE;Mem;G;24.49;15;11.6;10;0.7;35;37.10%;16;12.50%;31.40%;35.20%;81;205.74
593;Thomas Welsh;FALSE;Den;C;23.18;11;3.3;2;0.5;6;66.70%;7;42.90%;65.40%;64.80%;84;213.36
594;Russell Westbrook;FALSE;Okc;G;30.41;73;36;450;0.658;1062;48.10%;411;29.00%;46.80%;50.10%;75;190.5
