Titel;playstation?;xbox?;nintendo?;pc?;sonstige?;Punkte;Genre;editors_choice;Veröffentlichung_Jahr;Veröffentlichung_Monat
Bubsy: The Woolies Strike Back;TRUE;FALSE;FALSE;TRUE;FALSE;4.5;Platformer;N;2017;10
Bulletstorm: Full Clip Edition;TRUE;TRUE;FALSE;TRUE;FALSE;7.8;Shooter;N;2017;4
Call of Duty: WWII;TRUE;TRUE;FALSE;TRUE;FALSE;8;Shooter;N;2017;11
Crash Bandicoot N. Sane Trilogy;TRUE;FALSE;FALSE;FALSE;FALSE;8.5;Platformer;N;2017;6
Cuphead;FALSE;TRUE;FALSE;TRUE;FALSE;8.8;Shooter;N;2017;9
Danganronpa V3;TRUE;FALSE;FALSE;TRUE;FALSE;8;Adventure;N;2017;9
Danger Zone;TRUE;FALSE;FALSE;TRUE;FALSE;6.9;Racing;N;2017;5
Dark Souls 3: The Ringed City DLC;TRUE;TRUE;FALSE;TRUE;FALSE;8;Action-RPG;N;2017;3
Darkest Dungeon: The Crimson Court DLC;TRUE;TRUE;TRUE;TRUE;TRUE;7.7;RPG;N;2017;6
Destiny 2;FALSE;FALSE;FALSE;TRUE;FALSE;8.5;Shooter;N;2017;9
Destiny 2: Curse of Osiris;TRUE;TRUE;FALSE;TRUE;FALSE;5.5;Shooter;N;2017;12
Diablo 3: Rise of the Necromancer;TRUE;TRUE;TRUE;TRUE;TRUE;8.5;Action-RPG;N;2017;6
Dirt 4;TRUE;TRUE;FALSE;TRUE;FALSE;9.2;Racing;Y;2017;6
Dishonored: Death of the Outsider;TRUE;TRUE;FALSE;TRUE;FALSE;8.4;Action-Adventure;N;2017;9
Disney Afternoon Collection;TRUE;TRUE;FALSE;TRUE;FALSE;7;Platformer;N;2017;4
Divide;TRUE;FALSE;FALSE;FALSE;FALSE;5.5;Action-Adventure;N;2017;1
Divinity: Originial Sin 2;FALSE;FALSE;FALSE;TRUE;FALSE;9.6;RPG;Y;2017;9
Doom VFR (Switch);FALSE;FALSE;TRUE;FALSE;FALSE;8;Shooter;N;2017;11
Double Dragon 4;TRUE;FALSE;FALSE;TRUE;FALSE;3.5;Fighting;N;2017;1
Dragon Quest Heroes 2;TRUE;FALSE;FALSE;TRUE;FALSE;7.5;Action;N;2017;4
Dragon Quest VIII: Journey of the Cursed King;FALSE;FALSE;TRUE;FALSE;FALSE;8.8;Action-RPG;Y;2017;1
Drawn to Death;TRUE;FALSE;FALSE;FALSE;FALSE;4;Shooter;N;2017;4
Dreadnought;TRUE;FALSE;FALSE;FALSE;FALSE;7.4;Simulator;N;2017;12
DropMix;FALSE;FALSE;FALSE;FALSE;TRUE;8;Strategy;N;2017;12
